market_segment,channel_used,campaign_type,impressions,clicks,conversion_rate,roi,acquisition_cost
Foodies,Instagram,Email,9454,439,0.0,0.074,14594
Fashionistas,YouTube,Social Media,8707,262,0.0,0.049,11696
Tech Enthusiasts,Google Ads,Display,6063,444,0.001,0.061,7325
Fashionistas,Website,Influencer,8937,192,0.0,0.074,9768
Outdoor Adventurers,Website,Social Media,7895,448,0.001,0.076,13143
Tech Enthusiasts,YouTube,Email,2614,296,0.001,0.065,9591
Outdoor Adventurers,Instagram,Influencer,6378,534,0.001,0.027,17470
Fashionistas,Website,Social Media,4993,637,0.0,0.051,17361
Foodies,Website,Search,9559,766,0.001,0.032,18717
Fashionistas,Facebook,Social Media,9668,842,0.002,0.028,13150
Fashionistas,Google Ads,Social Media,8502,573,0.001,0.026,8442
Health & Wellness,YouTube,Influencer,3155,566,0.001,0.031,15460
Fashionistas,Email,Email,4084,677,0.0,0.067,19621
Health & Wellness,Email,Influencer,9260,382,0.0,0.06,5655
Outdoor Adventurers,Instagram,Email,4004,565,0.001,0.041,18536
Fashionistas,Instagram,Social Media,8665,969,0.001,0.076,7016
Foodies,Instagram,Email,6610,789,0.001,0.033,6547
Fashionistas,Website,Email,4801,570,0.001,0.027,15636
Foodies,Facebook,Search,9814,555,0.0,0.042,10704
Health & Wellness,YouTube,Email,9000,462,0.0,0.04,6232
Tech Enthusiasts,Google Ads,Display,9803,665,0.0,0.051,17428
Foodies,Email,Display,9843,594,0.001,0.035,14448
Health & Wellness,Website,Search,1546,333,0.001,0.034,14532
Foodies,YouTube,Display,4430,248,0.0,0.059,11624
Tech Enthusiasts,Email,Display,3065,506,0.001,0.048,16331
Fashionistas,Facebook,Display,1984,446,0.0,0.048,18110
Outdoor Adventurers,Google Ads,Influencer,9872,145,0.001,0.028,16079
Health & Wellness,YouTube,Display,4706,720,0.001,0.031,11900
Fashionistas,Website,Social Media,8147,964,0.001,0.034,12332
Tech Enthusiasts,Email,Email,9788,1000,0.001,0.023,8308
Tech Enthusiasts,Instagram,Search,5891,605,0.0,0.076,8999
Tech Enthusiasts,YouTube,Social Media,1447,409,0.001,0.076,10700
Foodies,YouTube,Social Media,5061,269,0.001,0.053,7659
Outdoor Adventurers,Email,Influencer,9920,282,0.001,0.077,6116
Fashionistas,Website,Influencer,4216,139,0.001,0.025,9278
Outdoor Adventurers,Email,Social Media,6535,644,0.001,0.068,14629
Tech Enthusiasts,YouTube,Search,2745,472,0.0,0.029,17447
Fashionistas,YouTube,Search,7023,228,0.002,0.063,5759
Outdoor Adventurers,Website,Search,8616,596,0.001,0.048,18072
Foodies,Website,Email,2087,933,0.0,0.043,7801
Tech Enthusiasts,Email,Email,1199,105,0.0,0.031,8988
Fashionistas,Google Ads,Influencer,6040,273,0.001,0.079,18874
Health & Wellness,Email,Display,2860,270,0.002,0.074,16038
Health & Wellness,YouTube,Search,4165,528,0.001,0.066,13294
Fashionistas,Email,Influencer,5385,929,0.0,0.024,5750
Health & Wellness,Instagram,Social Media,4577,461,0.0,0.078,15603
Foodies,Google Ads,Email,4552,401,0.001,0.025,16519
Fashionistas,Facebook,Influencer,5996,648,0.001,0.038,6913
Foodies,Email,Display,3909,359,0.001,0.038,14243
Tech Enthusiasts,Facebook,Display,8119,275,0.0,0.061,8568
Tech Enthusiasts,Google Ads,Influencer,2385,833,0.0,0.072,10091
Tech Enthusiasts,Email,Search,8769,800,0.001,0.031,18160
Outdoor Adventurers,Facebook,Social Media,5997,322,0.001,0.054,15364
Foodies,Facebook,Display,3211,354,0.0,0.022,12814
Health & Wellness,YouTube,Social Media,9746,815,0.0,0.064,10480
Foodies,Instagram,Search,3386,858,0.001,0.029,9027
Fashionistas,Instagram,Display,2166,607,0.001,0.031,15205
Health & Wellness,Instagram,Influencer,9534,198,0.001,0.025,18875
Foodies,Website,Search,6724,704,0.001,0.044,11592
Health & Wellness,Facebook,Search,6747,814,0.0,0.063,17617
Foodies,Website,Influencer,4314,386,0.001,0.052,14345
Fashionistas,Google Ads,Social Media,2241,539,0.001,0.073,17452
Fashionistas,Facebook,Search,2903,621,0.001,0.047,16375
Health & Wellness,Google Ads,Social Media,3089,569,0.001,0.044,10035
Fashionistas,Instagram,Influencer,8604,825,0.001,0.033,8220
Foodies,Instagram,Email,4450,142,0.001,0.048,5198
Outdoor Adventurers,YouTube,Email,9083,750,0.001,0.076,6044
Tech Enthusiasts,Instagram,Social Media,7311,364,0.001,0.067,13870
Outdoor Adventurers,Email,Display,1174,681,0.0,0.065,9620
Outdoor Adventurers,Email,Influencer,3372,791,0.0,0.077,17443
Foodies,Email,Search,7075,139,0.001,0.042,6234
Health & Wellness,YouTube,Search,1872,523,0.001,0.052,19940
Tech Enthusiasts,YouTube,Influencer,1927,566,0.001,0.035,7817
Outdoor Adventurers,Facebook,Influencer,5053,562,0.0,0.06,18058
Fashionistas,Facebook,Display,2575,318,0.0,0.043,15817
Outdoor Adventurers,YouTube,Social Media,4487,481,0.001,0.05,9526
Outdoor Adventurers,Google Ads,Social Media,9589,694,0.001,0.052,17283
Fashionistas,Website,Search,3473,972,0.001,0.078,10896
Outdoor Adventurers,Email,Social Media,7794,298,0.001,0.053,13405
Tech Enthusiasts,Instagram,Social Media,2618,416,0.001,0.041,9838
Foodies,Instagram,Email,7255,553,0.001,0.04,11131
Foodies,Email,Influencer,9882,740,0.001,0.034,12827
Foodies,YouTube,Email,5902,561,0.001,0.032,11849
Foodies,Website,Social Media,3422,289,0.001,0.036,11311
Health & Wellness,Website,Display,5434,517,0.0,0.05,12328
Outdoor Adventurers,Facebook,Display,7973,225,0.001,0.08,8815
Health & Wellness,Instagram,Display,3159,524,0.001,0.046,6262
Health & Wellness,Facebook,Social Media,2969,248,0.0,0.023,19551
Tech Enthusiasts,Facebook,Display,6696,205,0.001,0.055,7885
Health & Wellness,YouTube,Influencer,4668,715,0.001,0.065,10976
Outdoor Adventurers,Facebook,Search,2267,100,0.001,0.048,13777
Tech Enthusiasts,Website,Search,8203,311,0.001,0.023,19645
Foodies,YouTube,Influencer,1396,600,0.001,0.064,9650
Fashionistas,Google Ads,Search,2848,621,0.0,0.059,5315
Foodies,Website,Email,2004,589,0.001,0.069,19524
Outdoor Adventurers,Facebook,Email,2163,445,0.001,0.042,14257
Health & Wellness,Website,Influencer,9767,433,0.001,0.056,15378
Health & Wellness,Email,Search,9238,390,0.001,0.061,15572
Foodies,YouTube,Display,2499,898,0.0,0.038,11771
Foodies,YouTube,Influencer,5008,525,0.0,0.06,9752
Fashionistas,Website,Display,4091,916,0.001,0.067,8446
Foodies,Email,Influencer,2091,844,0.0,0.069,11372
Health & Wellness,Facebook,Display,5429,369,0.0,0.048,18836
Tech Enthusiasts,Google Ads,Email,2146,446,0.001,0.055,9287
Fashionistas,Facebook,Influencer,3581,268,0.0,0.061,17225
Tech Enthusiasts,Instagram,Social Media,8190,574,0.0,0.042,5218
Outdoor Adventurers,Facebook,Influencer,3287,683,0.001,0.041,5520
Fashionistas,Facebook,Social Media,9491,938,0.001,0.049,14473
Tech Enthusiasts,YouTube,Influencer,3554,107,0.001,0.042,9254
Foodies,Facebook,Influencer,8283,418,0.0,0.031,10007
Fashionistas,YouTube,Search,4335,811,0.001,0.076,13382
Health & Wellness,Facebook,Email,4946,921,0.0,0.028,18703
Outdoor Adventurers,Facebook,Social Media,8081,575,0.001,0.033,11351
Health & Wellness,Google Ads,Search,4562,164,0.001,0.027,5947
Foodies,Website,Display,7193,818,0.0,0.076,9584
Health & Wellness,Instagram,Display,3595,575,0.001,0.056,6326
Foodies,Google Ads,Influencer,3540,127,0.001,0.069,12564
Foodies,Email,Email,2516,697,0.001,0.068,12870
Fashionistas,Facebook,Influencer,7642,783,0.001,0.063,15134
Fashionistas,YouTube,Search,6208,523,0.0,0.054,19989
Tech Enthusiasts,Instagram,Search,1466,701,0.001,0.065,18629
Tech Enthusiasts,Email,Search,3725,416,0.001,0.041,12831
Tech Enthusiasts,Instagram,Search,4154,200,0.001,0.025,12257
Tech Enthusiasts,YouTube,Social Media,3703,728,0.0,0.05,13115
Foodies,Email,Search,1607,535,0.001,0.062,12118
Tech Enthusiasts,Email,Influencer,2276,434,0.001,0.047,7077
Health & Wellness,Google Ads,Email,3692,399,0.001,0.045,11406
Fashionistas,Website,Social Media,4868,369,0.0,0.063,19057
Tech Enthusiasts,Instagram,Display,5203,754,0.0,0.074,14809
Health & Wellness,Facebook,Social Media,2288,859,0.001,0.046,11747
Outdoor Adventurers,Instagram,Email,5698,543,0.0,0.073,5690
Fashionistas,Website,Influencer,6020,285,0.001,0.05,7639
Health & Wellness,Facebook,Social Media,6483,624,0.001,0.029,13924
Tech Enthusiasts,Instagram,Email,1881,571,0.0,0.021,14356
Outdoor Adventurers,Email,Influencer,9807,271,0.0,0.061,14900
Foodies,Google Ads,Social Media,6067,236,0.001,0.029,18913
Fashionistas,Website,Influencer,8044,912,0.0,0.048,5737
Health & Wellness,Website,Search,2438,647,0.002,0.043,15305
Foodies,Instagram,Display,7831,284,0.001,0.051,14516
Fashionistas,Google Ads,Email,9717,359,0.001,0.061,6892
Fashionistas,Email,Search,9154,942,0.001,0.078,17941
Foodies,Facebook,Display,8268,141,0.001,0.054,19741
Fashionistas,Instagram,Influencer,5680,707,0.001,0.05,15252
Tech Enthusiasts,Instagram,Email,6304,166,0.001,0.072,6658
Tech Enthusiasts,Website,Search,9353,647,0.0,0.044,13510
Health & Wellness,YouTube,Search,4778,294,0.001,0.035,15895
Outdoor Adventurers,Google Ads,Search,3583,134,0.001,0.039,14304
Foodies,Email,Social Media,8395,964,0.001,0.044,7259
Fashionistas,Google Ads,Influencer,4309,862,0.001,0.066,9585
Health & Wellness,Google Ads,Influencer,6243,875,0.001,0.053,9552
Fashionistas,YouTube,Social Media,3622,793,0.001,0.033,16152
Tech Enthusiasts,Instagram,Display,2418,162,0.001,0.06,19479
Foodies,Facebook,Search,4143,972,0.001,0.021,11354
Fashionistas,YouTube,Email,4413,871,0.0,0.062,10166
Fashionistas,Email,Search,6854,723,0.001,0.035,5410
Health & Wellness,Facebook,Search,7351,319,0.0,0.076,13025
Foodies,Google Ads,Influencer,8454,369,0.001,0.026,12156
Tech Enthusiasts,Facebook,Social Media,7367,821,0.0,0.033,19251
Health & Wellness,Instagram,Search,9705,458,0.0,0.062,16382
Foodies,Facebook,Display,3473,570,0.001,0.025,15829
Health & Wellness,Instagram,Influencer,7308,624,0.001,0.022,19285
Health & Wellness,Google Ads,Influencer,1519,733,0.001,0.024,10984
Health & Wellness,Email,Display,2458,780,0.0,0.061,13665
Fashionistas,Google Ads,Social Media,4742,498,0.0,0.07,5423
Outdoor Adventurers,Google Ads,Display,8390,230,0.001,0.044,5718
Health & Wellness,Instagram,Search,2473,707,0.001,0.026,17359
Outdoor Adventurers,YouTube,Search,9193,507,0.001,0.07,6819
Fashionistas,YouTube,Display,9888,765,0.001,0.028,5285
Health & Wellness,Google Ads,Search,3741,534,0.0,0.045,14496
Foodies,Instagram,Email,2814,729,0.001,0.061,18385
Health & Wellness,Instagram,Display,6566,757,0.0,0.07,19573
Tech Enthusiasts,Website,Influencer,1070,604,0.0,0.02,12129
Outdoor Adventurers,Website,Influencer,9457,405,0.0,0.069,15140
Foodies,Email,Influencer,3923,841,0.001,0.044,19665
Fashionistas,Email,Display,7442,728,0.001,0.027,12962
Tech Enthusiasts,Email,Influencer,5595,729,0.001,0.02,15168
Tech Enthusiasts,Google Ads,Social Media,3581,211,0.001,0.024,12355
Health & Wellness,Instagram,Email,9531,623,0.002,0.043,13399
Tech Enthusiasts,Email,Search,7747,109,0.001,0.059,14275
Health & Wellness,Website,Social Media,6463,131,0.001,0.073,10526
Outdoor Adventurers,Google Ads,Social Media,2413,413,0.001,0.064,17541
Health & Wellness,Instagram,Display,3764,751,0.0,0.037,6757
Health & Wellness,Instagram,Influencer,4004,168,0.001,0.05,17564
Fashionistas,Google Ads,Social Media,8506,572,0.001,0.053,14439
Foodies,Website,Display,2132,354,0.0,0.046,9881
Foodies,Instagram,Influencer,7650,878,0.001,0.061,9121
Tech Enthusiasts,Facebook,Influencer,8850,871,0.001,0.05,6330
Foodies,Email,Display,2866,354,0.001,0.02,8274
Fashionistas,YouTube,Display,5947,366,0.001,0.062,12830
Fashionistas,Google Ads,Email,8902,536,0.0,0.034,14817
Outdoor Adventurers,YouTube,Search,3042,858,0.001,0.034,9156
Fashionistas,YouTube,Search,7450,286,0.001,0.067,11032
Outdoor Adventurers,YouTube,Social Media,4701,304,0.001,0.026,19510
Outdoor Adventurers,YouTube,Influencer,5584,713,0.0,0.066,9383
Outdoor Adventurers,Facebook,Social Media,7259,806,0.001,0.058,8419
Health & Wellness,YouTube,Social Media,7040,941,0.0,0.063,13943
Health & Wellness,YouTube,Display,8425,637,0.0,0.027,12555
Fashionistas,Website,Search,8308,287,0.001,0.024,18313
Foodies,Google Ads,Influencer,5338,493,0.001,0.023,9124
Foodies,Website,Influencer,3170,667,0.001,0.036,6197
Foodies,Instagram,Display,5454,221,0.001,0.073,14167
Health & Wellness,YouTube,Email,3152,118,0.001,0.035,12210
Outdoor Adventurers,Google Ads,Influencer,1450,120,0.0,0.039,13935
Foodies,YouTube,Search,5484,314,0.0,0.075,7798
Tech Enthusiasts,Google Ads,Influencer,6420,661,0.001,0.059,19437
Foodies,Email,Search,4859,934,0.0,0.054,7208
Tech Enthusiasts,Instagram,Display,9293,292,0.001,0.059,15412
Fashionistas,Email,Social Media,9986,366,0.001,0.043,17184
Outdoor Adventurers,Website,Influencer,3711,945,0.0,0.046,6053
Outdoor Adventurers,Email,Display,1121,324,0.001,0.033,18113
Foodies,YouTube,Social Media,6324,848,0.001,0.079,12826
Tech Enthusiasts,Google Ads,Search,4439,334,0.0,0.04,15189
Outdoor Adventurers,YouTube,Search,5724,349,0.001,0.057,13403
Outdoor Adventurers,Facebook,Search,2017,951,0.001,0.06,15358
Fashionistas,Email,Search,1148,665,0.001,0.07,9683
Foodies,Instagram,Display,3017,898,0.001,0.066,17710
Fashionistas,YouTube,Search,6332,926,0.001,0.073,18779
Health & Wellness,YouTube,Influencer,7096,701,0.001,0.049,9459
Health & Wellness,Facebook,Search,1059,849,0.0,0.028,14604
Fashionistas,Facebook,Email,1642,189,0.001,0.056,16752
Fashionistas,Website,Email,5790,889,0.001,0.066,16267
Outdoor Adventurers,Website,Display,1867,981,0.001,0.074,17298
Foodies,Website,Search,2141,522,0.001,0.054,9399
Health & Wellness,Google Ads,Search,3407,989,0.0,0.043,5662
Tech Enthusiasts,Google Ads,Display,2944,704,0.001,0.078,15037
Health & Wellness,Instagram,Influencer,7910,943,0.0,0.036,18143
Tech Enthusiasts,Instagram,Search,4344,261,0.001,0.039,17596
Foodies,Website,Social Media,5577,623,0.001,0.074,9522
Foodies,Facebook,Search,8778,941,0.001,0.022,5550
Outdoor Adventurers,Website,Social Media,3037,748,0.001,0.032,14928
Outdoor Adventurers,Facebook,Social Media,9665,233,0.0,0.039,10134
Outdoor Adventurers,YouTube,Social Media,3625,959,0.001,0.031,6304
Outdoor Adventurers,Website,Display,5409,920,0.0,0.079,6792
Fashionistas,Google Ads,Influencer,9712,186,0.001,0.038,12538
Health & Wellness,Website,Email,1761,995,0.0,0.075,19466
Tech Enthusiasts,Instagram,Influencer,6808,452,0.001,0.068,15711
Outdoor Adventurers,YouTube,Email,1568,291,0.0,0.055,19285
Outdoor Adventurers,YouTube,Social Media,4244,560,0.0,0.039,18418
Tech Enthusiasts,Instagram,Social Media,5269,281,0.0,0.067,10132
Foodies,Facebook,Social Media,8827,103,0.001,0.058,6225
Fashionistas,Instagram,Display,4596,266,0.0,0.035,9991
Health & Wellness,Email,Influencer,7790,768,0.0,0.052,6979
Fashionistas,Instagram,Influencer,7635,366,0.001,0.041,10948
Tech Enthusiasts,Instagram,Display,1574,606,0.0,0.057,14605
Outdoor Adventurers,Website,Influencer,2097,645,0.001,0.034,19175
Outdoor Adventurers,Instagram,Search,6814,878,0.0,0.032,5328
Fashionistas,Website,Influencer,9055,588,0.001,0.022,14880
Fashionistas,Instagram,Search,2658,382,0.001,0.05,15410
Fashionistas,Instagram,Social Media,6271,576,0.001,0.067,17909
Tech Enthusiasts,Instagram,Social Media,5617,626,0.001,0.058,8362
Outdoor Adventurers,Email,Email,5540,180,0.001,0.045,16802
Outdoor Adventurers,Facebook,Search,7986,506,0.0,0.074,9311
Health & Wellness,Google Ads,Influencer,5895,974,0.001,0.036,5421
Tech Enthusiasts,YouTube,Influencer,4080,657,0.001,0.058,10425
Outdoor Adventurers,Email,Influencer,5693,325,0.001,0.042,17573
Fashionistas,Google Ads,Influencer,5290,656,0.001,0.034,7570
Foodies,Instagram,Social Media,2843,474,0.0,0.075,11059
Tech Enthusiasts,Email,Social Media,9928,294,0.001,0.07,13155
Tech Enthusiasts,Email,Email,6383,708,0.001,0.074,19383
Outdoor Adventurers,YouTube,Social Media,5550,506,0.0,0.034,16129
Tech Enthusiasts,Facebook,Influencer,6432,976,0.0,0.073,18306
Health & Wellness,Email,Social Media,2356,376,0.001,0.063,19202
Health & Wellness,Website,Social Media,7170,842,0.001,0.034,19898
Foodies,Instagram,Search,9114,884,0.001,0.044,9221
Tech Enthusiasts,Email,Email,4744,228,0.001,0.035,5135
Tech Enthusiasts,Email,Email,4307,155,0.001,0.052,8245
Foodies,Website,Search,5077,607,0.001,0.069,11517
Tech Enthusiasts,Instagram,Display,2558,684,0.001,0.036,16416
Tech Enthusiasts,Instagram,Search,2187,732,0.0,0.029,17300
Outdoor Adventurers,YouTube,Email,4519,353,0.002,0.035,10959
Outdoor Adventurers,YouTube,Search,8674,355,0.001,0.076,13371
Health & Wellness,Google Ads,Social Media,1149,263,0.001,0.049,5550
Tech Enthusiasts,YouTube,Social Media,5844,434,0.001,0.062,12380
Outdoor Adventurers,YouTube,Search,9252,232,0.0,0.066,7704
Fashionistas,YouTube,Email,8217,422,0.001,0.03,8455
Fashionistas,Website,Email,3534,822,0.001,0.078,19190
Health & Wellness,YouTube,Email,4723,583,0.0,0.03,9515
Outdoor Adventurers,Facebook,Email,1694,946,0.0,0.045,8438
Tech Enthusiasts,Google Ads,Display,8104,233,0.001,0.052,16697
Health & Wellness,Website,Search,5539,901,0.001,0.045,5459
Fashionistas,Facebook,Search,5223,248,0.001,0.023,10789
Tech Enthusiasts,Facebook,Search,4722,518,0.002,0.053,11027
Health & Wellness,Website,Social Media,3325,334,0.001,0.039,9678
Foodies,Website,Email,1561,535,0.001,0.034,19672
Health & Wellness,YouTube,Email,5908,734,0.0,0.04,7441
Fashionistas,Website,Search,2918,329,0.0,0.042,14539
Foodies,Google Ads,Display,8304,571,0.0,0.06,9782
Tech Enthusiasts,Facebook,Influencer,3939,238,0.0,0.046,16480
Health & Wellness,Google Ads,Email,6384,387,0.001,0.035,11570
Foodies,Facebook,Display,4025,799,0.001,0.078,16737
Outdoor Adventurers,YouTube,Social Media,3719,518,0.0,0.058,13874
Fashionistas,Google Ads,Display,4277,458,0.0,0.025,14358
Tech Enthusiasts,Email,Search,3746,513,0.002,0.03,14029
Fashionistas,Facebook,Influencer,4498,988,0.0,0.034,10816
Fashionistas,YouTube,Social Media,4296,218,0.0,0.038,11473
Foodies,Website,Search,4801,253,0.0,0.042,14934
Tech Enthusiasts,YouTube,Social Media,1658,512,0.001,0.022,9077
Fashionistas,Google Ads,Display,8574,696,0.001,0.067,8354
Fashionistas,Instagram,Email,9381,391,0.001,0.04,12443
Outdoor Adventurers,Facebook,Influencer,5102,313,0.0,0.037,12850
Tech Enthusiasts,Facebook,Email,1367,528,0.001,0.046,18198
Foodies,YouTube,Display,4357,321,0.001,0.041,15822
Health & Wellness,Email,Social Media,3064,584,0.001,0.077,14292
Health & Wellness,Google Ads,Influencer,7742,469,0.001,0.08,11188
Tech Enthusiasts,YouTube,Influencer,9650,225,0.002,0.058,9765
Tech Enthusiasts,YouTube,Display,3223,273,0.001,0.059,7595
Fashionistas,Website,Search,9382,292,0.001,0.023,10695
Health & Wellness,YouTube,Influencer,6726,239,0.0,0.068,10690
Foodies,Facebook,Display,5486,768,0.0,0.028,11721
Tech Enthusiasts,Website,Email,6083,884,0.001,0.051,11778
Health & Wellness,Website,Search,1354,284,0.001,0.073,16473
Health & Wellness,Website,Display,3884,908,0.0,0.051,12285
Fashionistas,Website,Influencer,8547,823,0.0,0.052,7683
Fashionistas,Website,Display,2674,854,0.001,0.022,13933
Foodies,Instagram,Search,7230,365,0.001,0.029,19930
Tech Enthusiasts,Instagram,Search,8130,702,0.0,0.07,9382
Health & Wellness,Instagram,Search,3155,380,0.0,0.05,6259
Tech Enthusiasts,Website,Influencer,4694,940,0.001,0.042,19822
Fashionistas,Website,Display,7105,563,0.001,0.072,11108
Outdoor Adventurers,YouTube,Influencer,5687,263,0.001,0.049,7805
Foodies,Instagram,Display,6075,342,0.001,0.076,15996
Foodies,Instagram,Social Media,3216,143,0.001,0.025,13350
Health & Wellness,Google Ads,Search,5778,856,0.0,0.066,14822
Tech Enthusiasts,Instagram,Search,5955,423,0.001,0.024,16279
Fashionistas,Email,Social Media,9505,753,0.001,0.026,11529
Fashionistas,Instagram,Display,2717,930,0.001,0.062,5937
Outdoor Adventurers,Email,Display,3573,389,0.001,0.02,6668
Foodies,YouTube,Social Media,6756,479,0.001,0.055,14291
Health & Wellness,Google Ads,Social Media,3570,735,0.001,0.048,18539
Fashionistas,Email,Search,4810,188,0.001,0.039,12225
Foodies,Website,Influencer,6337,309,0.001,0.024,9914
Foodies,Website,Social Media,6399,381,0.001,0.042,12097
Health & Wellness,Website,Display,8335,116,0.0,0.046,19245
Tech Enthusiasts,Instagram,Search,2423,968,0.0,0.032,8336
Health & Wellness,Facebook,Email,4792,727,0.001,0.072,9388
Health & Wellness,Instagram,Influencer,5388,150,0.001,0.043,19161
Foodies,Email,Display,4355,951,0.001,0.072,9204
Tech Enthusiasts,Instagram,Display,8868,744,0.0,0.027,17263
Tech Enthusiasts,Email,Display,5753,937,0.001,0.053,15103
Tech Enthusiasts,Email,Email,9602,668,0.001,0.054,9492
Fashionistas,Google Ads,Display,3049,850,0.0,0.064,14394
Health & Wellness,Google Ads,Search,9606,719,0.0,0.031,16264
Foodies,Website,Display,9163,947,0.001,0.022,10485
Foodies,Facebook,Display,3044,730,0.0,0.04,19431
Health & Wellness,YouTube,Social Media,8035,657,0.0,0.059,15058
Tech Enthusiasts,Google Ads,Search,7476,254,0.001,0.062,9179
Tech Enthusiasts,Website,Social Media,7161,101,0.0,0.055,16414
Fashionistas,YouTube,Email,8734,753,0.001,0.043,8996
Outdoor Adventurers,YouTube,Email,3883,482,0.001,0.078,16654
Fashionistas,YouTube,Display,8407,812,0.0,0.048,17587
Health & Wellness,Website,Search,1733,366,0.0,0.036,19301
Foodies,Google Ads,Influencer,5356,219,0.0,0.076,19402
Fashionistas,Facebook,Social Media,4184,296,0.001,0.049,11597
Fashionistas,Website,Search,5983,207,0.001,0.023,11352
Health & Wellness,Email,Social Media,7656,519,0.001,0.041,9783
Health & Wellness,Email,Social Media,6720,652,0.001,0.047,8565
Health & Wellness,YouTube,Social Media,9459,807,0.001,0.051,14016
Tech Enthusiasts,Website,Display,6001,151,0.001,0.055,17138
Fashionistas,Email,Influencer,4914,331,0.0,0.057,15823
Health & Wellness,Facebook,Search,1908,174,0.0,0.02,16198
Foodies,Website,Display,1019,673,0.0,0.068,18041
Foodies,Instagram,Email,6731,455,0.001,0.02,7563
Foodies,Google Ads,Search,7024,128,0.0,0.06,9378
Outdoor Adventurers,Website,Search,7246,663,0.001,0.072,6766
Tech Enthusiasts,Facebook,Search,9165,801,0.001,0.062,5431
Outdoor Adventurers,Facebook,Email,8683,471,0.001,0.043,15693
Fashionistas,Instagram,Email,1882,568,0.0,0.034,11192
Health & Wellness,YouTube,Search,3281,258,0.0,0.041,10548
Foodies,Website,Email,9838,153,0.001,0.046,10845
Health & Wellness,Email,Email,5842,885,0.001,0.069,19128
Foodies,YouTube,Display,7101,254,0.001,0.056,17458
Foodies,Website,Email,3021,211,0.001,0.036,5885
Fashionistas,Google Ads,Social Media,9969,806,0.001,0.036,13856
Tech Enthusiasts,Google Ads,Email,8040,475,0.001,0.029,19873
Foodies,Instagram,Display,5937,954,0.001,0.038,12823
Tech Enthusiasts,Website,Influencer,8963,769,0.001,0.056,11171
Health & Wellness,Google Ads,Influencer,1014,192,0.001,0.063,8150
Health & Wellness,Email,Email,8121,320,0.0,0.034,9346
Health & Wellness,YouTube,Email,9885,788,0.001,0.036,17449
Foodies,YouTube,Influencer,9002,330,0.001,0.025,16141
Outdoor Adventurers,YouTube,Social Media,5178,975,0.0,0.064,6897
Outdoor Adventurers,Email,Search,3017,514,0.002,0.039,12755
Health & Wellness,YouTube,Influencer,1174,728,0.001,0.037,12392
Foodies,Google Ads,Influencer,1703,269,0.001,0.021,8619
Outdoor Adventurers,Website,Search,3584,917,0.002,0.034,18771
Health & Wellness,Website,Influencer,6321,250,0.001,0.055,19334
Foodies,Email,Influencer,1225,869,0.0,0.074,9227
Tech Enthusiasts,Google Ads,Influencer,5599,627,0.001,0.05,7202
Outdoor Adventurers,Google Ads,Email,8875,258,0.001,0.05,11186
Fashionistas,Instagram,Search,5847,569,0.001,0.066,14945
Fashionistas,Facebook,Influencer,8317,550,0.0,0.069,5767
Health & Wellness,Website,Email,3423,477,0.001,0.054,14886
Health & Wellness,Website,Email,4991,479,0.001,0.078,15446
Outdoor Adventurers,Instagram,Influencer,6618,846,0.0,0.038,17373
Fashionistas,Instagram,Email,6846,696,0.001,0.043,10027
Fashionistas,Website,Email,9305,379,0.001,0.066,16092
Foodies,Instagram,Display,7966,897,0.001,0.032,19809
Health & Wellness,Website,Email,8659,765,0.001,0.029,17454
Health & Wellness,Email,Email,9419,831,0.001,0.03,12328
Outdoor Adventurers,Email,Search,1896,543,0.0,0.053,11587
Outdoor Adventurers,Facebook,Influencer,4467,294,0.0,0.053,8609
Outdoor Adventurers,YouTube,Social Media,1725,443,0.001,0.045,15457
Fashionistas,Instagram,Search,8858,350,0.001,0.051,18626
Tech Enthusiasts,Facebook,Social Media,1296,902,0.001,0.032,7181
Outdoor Adventurers,Website,Social Media,7515,799,0.001,0.034,12824
Tech Enthusiasts,Instagram,Social Media,9186,522,0.001,0.06,14516
Health & Wellness,Email,Influencer,9544,610,0.001,0.033,16520
Foodies,Google Ads,Display,8160,676,0.001,0.072,16215
Health & Wellness,Email,Search,7784,435,0.001,0.067,16140
Foodies,Instagram,Email,4818,308,0.001,0.079,12358
Health & Wellness,YouTube,Email,8824,587,0.002,0.048,18590
Outdoor Adventurers,Google Ads,Search,4051,929,0.0,0.031,17141
Outdoor Adventurers,Facebook,Email,2799,266,0.0,0.045,18386
Outdoor Adventurers,Facebook,Influencer,4955,501,0.001,0.044,15919
Foodies,Email,Display,9560,259,0.001,0.028,11973
Foodies,Instagram,Search,4887,167,0.001,0.04,15178
Foodies,YouTube,Email,3701,139,0.001,0.028,7747
Foodies,YouTube,Display,7417,489,0.0,0.024,13472
Tech Enthusiasts,Email,Search,3442,903,0.0,0.027,15956
Fashionistas,Email,Display,1215,387,0.001,0.037,14868
Fashionistas,YouTube,Search,6509,951,0.0,0.065,17453
Foodies,Website,Display,4968,499,0.0,0.039,15531
Foodies,Google Ads,Search,3065,744,0.001,0.034,8188
Fashionistas,Website,Social Media,8595,230,0.001,0.033,15112
Tech Enthusiasts,Email,Influencer,9161,433,0.001,0.034,5672
Outdoor Adventurers,Google Ads,Influencer,8183,927,0.001,0.051,15812
Foodies,Google Ads,Email,1039,829,0.0,0.03,11038
Health & Wellness,YouTube,Search,3240,710,0.001,0.053,14805
Tech Enthusiasts,Email,Email,4376,600,0.001,0.078,14104
